timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint
2024-01-17 09:12:06.962000+00:00,41.7,36.1,60.0,47.0,59.9,4320.0,4440.0,255.0,255.0,215.0,113.0,214.6,214.6,215.0,1.0,128.74,124.843,22.0,29515.171989989285,1534.0
2023-11-28 08:26:48.600000+00:00,42.6,43.6,90.0,81.0,90.0,4320.0,2940.0,255.0,76.0,243.0,93.0,242.8,242.8,243.0,1.0,143.896,49.931,1.2,257034.83781960703,2100.0
2023-10-11 11:18:47.318000+00:00,46.0,35.8,60.0,24.0,60.1,4320.0,4620.0,255.0,255.0,210.0,102.0,210.5,210.5,210.0,1.0,128.89,104.158,21.6,94002.06659986096,2400.0
2023-11-29 10:58:02.502000+00:00,42.9,45.4,90.0,60.0,90.0,4380.0,2880.0,255.0,76.0,243.0,94.0,242.5,242.5,243.0,1.0,151.736,110.47,6.4,271876.9134899793,2100.0
2023-10-11 11:53:03.437000+00:00,45.8,35.1,60.0,16.0,60.1,4320.0,4200.0,255.0,255.0,210.0,116.0,209.4,209.4,210.0,1.0,133.679,107.127,30.8,94989.57664987152,3109.0
2023-03-30 09:59:13.852000+00:00,37.2,32.3,60.0,60.0,59.9,4320.0,4260.0,255.0,255.0,225.0,127.0,223.1,223.1,225.0,1.0,100.124,91.245,1.6,3737.9205900003376,3600.0
2024-01-17 09:19:43.269000+00:00,42.1,36.0,60.0,19.0,60.1,4380.0,4320.0,255.0,255.0,215.0,108.0,214.9,214.9,215.0,1.0,123.573,116.674,27.4,29754.98354998909,10800.0
2023-10-12 09:17:40.139000+00:00,45.4,47.8,90.0,43.0,90.1,4380.0,2880.0,255.0,76.0,243.0,78.0,243.9,243.9,243.0,1.0,149.965,91.009,6.05,101491.72519988734,7658.989
2024-01-18 09:47:40.480000+00:00,42.6,36.7,60.0,28.0,60.0,4320.0,4200.0,255.0,255.0,220.0,104.0,220.3,220.3,220.0,1.0,136.829,109.309,19.4,37327.815409990806,10800.0
2023-11-15 12:00:12.513000+00:00,41.7,36.1,60.0,60.0,59.9,4260.0,4500.0,255.0,255.0,210.0,110.0,209.7,209.7,210.0,1.0,73.095,49.454,14.15,167190.64908968363,8640.0
2023-12-07 11:58:37.826000+00:00,37.3,31.0,60.0,47.0,59.9,4200.0,4500.0,255.0,255.0,210.0,116.0,210.0,210.0,210.0,1.0,108.538,65.928,0.8,288061.70431088365,10794.215
