timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint,session_id,hour,dayofweek,minute,is_active,utilization,T_Hotend_Actual_Smooth,Power_Hotend_Smooth,hotend_zscore,power_zscore,session_elapsed_seconds,session_elapsed_hours
2024-01-17 09:12:06.962000+00:00,41.7,36.1,60.0,47.0,59.9,4320.0,4440.0,255.0,255.0,215.0,113.0,214.6,214.6,215.0,1.0,128.74,124.843,22.0,29515.171989989285,1534.0,21,9,2,12,1,1.0,214.6,113.0,0.2972482326382625,0.44998455326421,3320.283,0.9223008333333332
2023-11-28 08:26:48.600000+00:00,42.6,43.6,90.0,81.0,90.0,4320.0,2940.0,255.0,76.0,243.0,93.0,242.8,242.8,243.0,1.0,143.896,49.931,1.2,257034.83781960703,2100.0,16,8,1,26,1,1.0,243.16000000000005,86.4,0.2088850189292362,0.6928833812497517,3659.966,1.016657222222222
2023-10-11 11:18:47.318000+00:00,46.0,35.8,60.0,24.0,60.1,4320.0,4620.0,255.0,255.0,210.0,102.0,210.5,210.5,210.0,1.0,128.89,104.158,21.6,94002.06659986096,2400.0,7,11,2,18,1,1.0,210.5,102.0,0.2111211663277135,-0.1188761197628339,11423.896,3.1733044444444447
2023-11-29 10:58:02.502000+00:00,42.9,45.4,90.0,60.0,90.0,4380.0,2880.0,255.0,76.0,243.0,94.0,242.5,242.5,243.0,1.0,151.736,110.47,6.4,271876.9134899793,2100.0,17,10,2,58,1,1.0,242.5,94.0,0.0862897842939256,0.6772721085162525,5730.797,1.5918880555555557
2023-10-11 11:53:03.437000+00:00,45.8,35.1,60.0,16.0,60.1,4320.0,4200.0,255.0,255.0,210.0,116.0,209.4,209.4,210.0,1.0,133.679,107.127,30.8,94989.57664987152,3109.0,7,11,2,53,1,1.0,209.34,117.2,0.1743532179353751,0.4526287811746762,13480.015,3.744448611111111
2023-03-30 09:59:13.852000+00:00,37.2,32.3,60.0,60.0,59.9,4320.0,4260.0,255.0,255.0,225.0,127.0,223.1,223.1,225.0,1.0,100.124,91.245,1.6,3737.9205900003376,3600.0,2,9,3,59,1,1.0,223.1,127.0,-0.545549811411997,0.7518384912426672,772.914,0.2146983333333333
2024-01-17 09:19:43.269000+00:00,42.1,36.0,60.0,19.0,60.1,4380.0,4320.0,255.0,255.0,215.0,108.0,214.9,214.9,215.0,1.0,123.573,116.674,27.4,29754.98354998909,10800.0,21,9,2,19,1,1.0,214.9,108.0,0.3034577786447754,0.2992452337625539,3776.59,1.0490527777777778
2023-10-12 09:17:40.139000+00:00,45.4,47.8,90.0,43.0,90.1,4380.0,2880.0,255.0,76.0,243.0,78.0,243.9,243.9,243.0,1.0,149.965,91.009,6.05,101491.72519988734,7658.989,8,9,3,17,1,1.0,243.9,78.0,0.17551208448946,-0.8936151613248712,3913.549,1.0870969444444445
2024-01-18 09:47:40.480000+00:00,42.6,36.7,60.0,28.0,60.0,4320.0,4200.0,255.0,255.0,220.0,104.0,220.3,220.3,220.0,1.0,136.829,109.309,19.4,37327.815409990806,10800.0,22,9,3,47,1,1.0,220.3,104.0,0.6295076847236795,0.4736374558920229,2256.775,0.6268819444444444
2023-11-15 12:00:12.513000+00:00,41.7,36.1,60.0,60.0,59.9,4260.0,4500.0,255.0,255.0,210.0,110.0,209.7,209.7,210.0,1.0,73.095,49.454,14.15,167190.64908968363,8640.0,12,12,2,0,1,1.0,209.7,110.0,0.0856640762674781,0.0863833100432897,13991.546,3.886540555555555
