Model,Train_Rows,Test_Rows,Train_Sessions,Test_Sessions,R,R2,MAE,MSE,RMSE,Explained_Variance,Median_Absolute_Error,Max_Absolute_Error,Error_Mean,Error_Variance,Error_Std,Prediction_Mean,Prediction_Std,Actual_Mean,Actual_Std
Training Mean Baseline,8275598,1403559,17,5,1.215709005383482e-16,-0.0023042573374736364,0.2785805428949898,0.09428534215858725,0.30705918347866956,0.0,0.29627654646778656,0.5110761115983695,-0.014722711189019033,0.09406865095534724,0.3067061312646802,0.48892388840162965,8.326675650961248e-16,0.47420117721261146,0.3067061312646802
Midpoint Baseline,8275598,1403559,17,5,,-0.007075468018985953,0.27914722452055274,0.09473416319104708,0.3077891537904594,0.0,0.29440890099991746,0.5,-0.02579882278738856,0.09406865095534724,0.3067061312646802,0.5,0.0,0.47420117721261146,0.3067061312646802
Extra Trees,8275598,1403559,17,5,0.01390278250801199,-0.31521911383888823,0.311147633075902,0.12372079960153355,0.35173967589899996,-0.30311722521576834,0.3078143120133386,0.9231856205641863,-0.03374029528178187,0.12258247941272274,0.350117807905743,0.5079414724943931,0.1731782798173013,0.47420117721261146,0.3067061312646802
Random Forest,8275598,1403559,17,5,-0.053882549269917854,-0.4896837343341631,0.33453780592385557,0.14013243939807746,0.37434267643173874,-0.4775469898864264,0.3352109821247182,0.9812997760658329,-0.033788849695798075,0.13899085206175021,0.3728147691035727,0.5079900269084091,0.19606578568866478,0.47420117721261146,0.3067061312646802
Linear Regression,8275598,1403559,17,5,-0.1342338323013885,-0.7060149126818929,0.3480239087154592,0.16048240700598565,0.40060255491694713,-0.701799994475629,0.3705083577400835,0.9991755942220575,0.019912091478802567,0.1600860296761398,0.4001075226437761,0.45428908573380883,0.219045677730938,0.47420117721261146,0.3067061312646802
Ridge Regression,8275598,1403559,17,5,-0.13423396090826994,-0.7060155901470058,0.34802398109983573,0.1604824707341695,0.4006026344573504,-0.7018008939693261,0.3705081935655466,0.9991755942220575,0.019911567018838887,0.16008611429029843,0.400107628383037,0.45428961019377234,0.21904580711157676,0.47420117721261146,0.3067061312646802
HistGradientBoosting,8275598,1403559,17,5,-0.11081943614464232,-0.8355525823454679,0.35749751666934954,0.17266783215732667,0.41553319019944324,-0.8127395397391532,0.35965182808853025,1.0,-0.04632483797271248,0.1705219630366792,0.4129430505973907,0.5205260151853239,0.24459413650259157,0.47420117721261146,0.3067061312646802
Gradient Boosting,8275598,1403559,17,5,-0.14457996880342977,-0.9284954345590923,0.3771233379089467,0.18141083465183372,0.4259235079821654,-0.9003670994707158,0.37795758219215864,0.9997553863910738,-0.05143921315669461,0.1787649693671364,0.4228060659062691,0.525640390369306,0.2500416778771529,0.47420117721261146,0.3067061312646802
XGBoost,8275598,1403559,17,5,-0.14279649742404138,-0.9331491808070012,0.3647301755687966,0.18184860597136188,0.4264371067008145,-0.8322754055718273,0.3703497907996705,1.0,-0.09741177132376,0.17235967558080353,0.4151622280275549,0.5716129485363716,0.2394156619801143,0.47420117721261146,0.3067061312646802
Decision Tree,8275598,1403559,17,5,-0.04981051524257468,-1.248557923286095,0.3852748453164381,0.21151865973672093,0.4599115781720666,-1.2485534670720013,0.42541367613874415,0.998033528784948,-0.0006474486462245697,0.21151839124843197,0.45991128628076955,0.47484862585883597,0.32777256229241775,0.47420117721261146,0.3067061312646802
