Model,Train_Rows,Test_Rows,Train_Sessions,Test_Sessions,R,R2,MAE,MSE,RMSE,Explained_Variance,Median_Absolute_Error,Max_Absolute_Error,Error_Mean,Error_Variance,Error_Std,Prediction_Mean,Prediction_Std,Actual_Mean,Actual_Std
Training Mean Baseline,8275598,1403559,17,5,0.0,-0.002304,0.278581,0.094285,0.307059,0.0,0.296277,0.511076,-0.014723,0.094069,0.306706,0.488924,0.0,0.474201,0.306706
Midpoint Baseline,8275598,1403559,17,5,,-0.007075,0.279147,0.094734,0.307789,0.0,0.294409,0.5,-0.025799,0.094069,0.306706,0.5,0.0,0.474201,0.306706
Extra Trees,8275598,1403559,17,5,0.013903,-0.315219,0.311148,0.123721,0.35174,-0.303117,0.307814,0.923186,-0.03374,0.122582,0.350118,0.507941,0.173178,0.474201,0.306706
Random Forest,8275598,1403559,17,5,-0.053883,-0.489684,0.334538,0.140132,0.374343,-0.477547,0.335211,0.9813,-0.033789,0.138991,0.372815,0.50799,0.196066,0.474201,0.306706
Linear Regression,8275598,1403559,17,5,-0.134234,-0.706015,0.348024,0.160482,0.400603,-0.7018,0.370508,0.999176,0.019912,0.160086,0.400108,0.454289,0.219046,0.474201,0.306706
Ridge Regression,8275598,1403559,17,5,-0.134234,-0.706016,0.348024,0.160482,0.400603,-0.701801,0.370508,0.999176,0.019912,0.160086,0.400108,0.45429,0.219046,0.474201,0.306706
HistGradientBoosting,8275598,1403559,17,5,-0.110819,-0.835553,0.357498,0.172668,0.415533,-0.81274,0.359652,1.0,-0.046325,0.170522,0.412943,0.520526,0.244594,0.474201,0.306706
Gradient Boosting,8275598,1403559,17,5,-0.14458,-0.928495,0.377123,0.181411,0.425924,-0.900367,0.377958,0.999755,-0.051439,0.178765,0.422806,0.52564,0.250042,0.474201,0.306706
XGBoost,8275598,1403559,17,5,-0.142796,-0.933149,0.36473,0.181849,0.426437,-0.832275,0.37035,1.0,-0.097412,0.17236,0.415162,0.571613,0.239416,0.474201,0.306706
Decision Tree,8275598,1403559,17,5,-0.049811,-1.248558,0.385275,0.211519,0.459912,-1.248553,0.425414,0.998034,-0.000647,0.211518,0.459911,0.474849,0.327773,0.474201,0.306706
