Model,Session_Mean_R,Session_SD_R,Session_Mean_R2,Session_SD_R2,Session_Mean_MAE,Session_SD_MAE,Session_Mean_RMSE,Session_SD_RMSE
Decision Tree,0.14812331084667613,0.33987840746216946,-1.5666610484443602,1.2908778984718454,0.36503169473659586,0.11237479740632425,0.44124951478581814,0.08341455834785383
Extra Trees,0.05742926021732355,0.40795775488170766,-0.4188900765619465,0.2770263393514858,0.30328950622733897,0.05227569894969178,0.34016323279315125,0.05134899834491289
Gradient Boosting,0.07285344568296306,0.31788151544060905,-1.1042565156962278,0.9429066890777013,0.356003422619975,0.09740413266405819,0.4022809718049761,0.08861427457367277
HistGradientBoosting,0.051543592764548965,0.23694664989670824,-1.0451685681323848,1.0035720126569743,0.33730242031763025,0.09363876207179427,0.39285981502125356,0.08581636462190928
Linear Regression,-0.09695190623266907,0.3466073005252928,-1.0503218486230974,1.0020755698165293,0.35614016457597913,0.12187275188879942,0.39998885620910046,0.10196434030350285
Midpoint Baseline,,,-0.1337470426813449,0.134110461619965,0.27806138977319095,0.042680873639873995,0.3044639321567065,0.03681133767355457
Random Forest,0.04356794064286125,0.45262376544420296,-0.6418472710911652,0.6362956346988587,0.31950840081017506,0.07460080207219756,0.3589716357408515,0.06037418338259912
Ridge Regression,-0.09695350573528713,0.34661061498087764,-1.0503218391938023,1.0020766418948988,0.3561402503288281,0.12187291683188263,0.3999888515161064,0.10196454308280915
Training Mean Baseline,-2.5311817828488696e-16,4.669978037995815e-16,-0.13308529271077124,0.140162327335317,0.2779918158667735,0.04358862324276795,0.30434779437159903,0.03720521553967114
XGBoost,-0.07120293905050251,0.3411444211091797,-1.152986992806497,1.121231945872011,0.34431605212677485,0.11235927227283368,0.4056169311174024,0.09152369228349322
