session_id,start,end,records,duration_hours,session_order,short_session
0,2023-03-28 08:36:18.084000+00:00,2023-03-28 10:49:09.800000+00:00,390087,2.2143655555555557,0,False
1,2023-03-29 11:47:30.873000+00:00,2023-03-29 13:53:59.200000+00:00,329076,2.1078686111111113,1,False
2,2023-03-30 09:46:20.938000+00:00,2023-03-30 13:17:15.121000+00:00,501569,3.5150508333333335,2,False
3,2023-09-27 13:39:03.017000+00:00,2023-09-27 13:40:14.957000+00:00,34,0.019983333333333332,3,True
4,2023-09-28 08:06:34.197000+00:00,2023-09-28 13:11:34.578000+00:00,402412,5.083439166666667,4,False
5,2023-10-02 08:52:53.877000+00:00,2023-10-02 14:01:52.600000+00:00,419490,5.149645277777778,5,False
6,2023-10-09 09:22:02.858000+00:00,2023-10-09 13:12:11.400000+00:00,296296,3.835706111111111,6,False
7,2023-10-11 08:08:23.422000+00:00,2023-10-11 13:38:30.800000+00:00,506130,5.502049444444444,7,False
8,2023-10-12 08:12:26.590000+00:00,2023-10-12 14:55:40.200000+00:00,553217,6.720447222222222,8,False
9,2023-10-18 08:01:40.498000+00:00,2023-10-18 12:44:43.521000+00:00,435979,4.717506388888889,9,False
10,2023-11-06 09:39:14.043000+00:00,2023-11-06 14:51:10.100000+00:00,341729,5.198904722222222,10,False
11,2023-11-14 09:51:27.688000+00:00,2023-11-14 15:59:00.468000+00:00,445949,6.1257722222222215,11,False
12,2023-11-15 08:07:00.967000+00:00,2023-11-15 14:09:12.800000+00:00,457983,6.036620277777778,12,False
13,2023-11-20 11:59:20.533000+00:00,2023-11-20 16:00:38.800000+00:00,211512,4.021740833333333,13,False
14,2023-11-22 08:34:58.991000+00:00,2023-11-22 16:12:23.119000+00:00,411864,7.623368888888889,14,False
15,2023-11-27 08:44:19.328000+00:00,2023-11-27 15:30:48.800000+00:00,942451,6.774853333333334,15,False
16,2023-11-28 07:25:48.634000+00:00,2023-11-28 13:50:34.292000+00:00,592264,6.4126827777777775,16,False
17,2023-11-29 09:22:31.705000+00:00,2023-11-29 15:31:00.355000+00:00,1037590,6.1412916666666675,17,False
18,2023-12-04 11:02:22.078000+00:00,2023-12-04 15:25:41.910000+00:00,126906,4.388842222222222,18,False
19,2023-12-07 09:02:55.642000+00:00,2023-12-07 12:18:31.200000+00:00,281928,3.2598772222222223,19,False
20,2024-01-15 11:31:56.040000+00:00,2024-01-15 16:12:10.313000+00:00,316145,4.670631388888889,20,False
21,2024-01-17 08:16:46.679000+00:00,2024-01-17 15:40:27.778000+00:00,359036,7.394749722222222,21,False
22,2024-01-18 09:10:03.705000+00:00,2024-01-18 16:33:35.600000+00:00,319544,7.3921930555555555,22,False
