Model,R,R2,MAE,MSE,RMSE,EVS,Error_Variance
Training Mean Baseline,,-2.242376140104696e-06,0.25086613991697826,0.08391957031245281,0.2896887473003617,0.0,0.0839708664171502
Midpoint Baseline,,-1.1055716886421152e-06,0.2508659022721915,0.08391947491252565,0.28968858264095537,0.0,0.0839708664171502
Linear Regression,-0.052689969591216745,-1.3045369085352947,0.3681236796647349,0.1933953134684338,0.4397673401566262,-1.2513278708263282,0.18904595190236478
Ridge,-0.06435164002128105,-1.2238633564039478,0.36678085078598593,0.18662523881904575,0.43200143381596057,-1.1591401331941276,0.18130486770035195
Decision Tree,0.022066835353792738,-1.2998196146949454,0.3712664892987151,0.19299944108400888,0.4393170166110219,-1.2952206489023799,0.19273166650686654
Random Forest,-0.02572962192050335,-0.8934863243068449,0.338282120102271,0.15890020241431355,0.39862288245196553,-0.8874113098295231,0.15848756297191335
Extra Trees,-0.005751574519584579,-0.5850254754668993,0.31399509077278287,0.13301435856724947,0.3647113359456345,-0.5850234699137418,0.13309579406017472
Gradient Boosting,-0.05875595622079413,-0.7271943049319294,0.3270077792490492,0.14494507889461658,0.38071653351885915,-0.6791046436019847,0.14099587172831884
HistGradientBoosting,-0.011829563638029464,-0.8565988167630423,0.33049414725619314,0.15580462557278793,0.3947209464581123,-0.8469611804885211,0.15509093056446363
XGBoost,-0.008397981399216908,-0.8278839481087117,0.33134840393815096,0.1533948915372681,0.3916565989961973,-0.8257257184972542,0.1533077704222885
