Feature,Pearson_R,Pearson_p,Spearman_R,Spearman_p,Abs_Pearson_R
Z_Setpoint_min,0.2980755285801011,4.172227491391975e-141,0.4077642511723254,8.589691827636109e-274,0.2980755285801011
Z_Setpoint_mean,0.29744662589528886,1.7167740401982938e-140,0.4076788557337803,1.1448136718884265e-273,0.29744662589528886
Z_Setpoint_max,0.29470258059158216,7.892019698808458e-138,0.40448680510248525,4.9659798650019425e-269,0.29470258059158216
T_Hotend_Setpoint_max,-0.25804667678812354,4.653963012123381e-105,-0.19398449907150664,2.603808255997906e-59,0.25804667678812354
T_Tool_Setpoint_max,-0.258025651432528,4.8441482890949595e-105,-0.1940260085244823,2.4576754473950444e-59,0.258025651432528
T_Hotend_Setpoint_mean,-0.2566104423728652,7.117520106887158e-104,-0.19348365734661224,5.221779286971138e-59,0.2566104423728652
T_Tool_Setpoint_mean,-0.2562860881582818,1.314598264550789e-103,-0.19311077632665977,8.755343452835576e-59,0.2562860881582818
T_Hotend_Setpoint_min,-0.25031317012869814,9.066461886229958e-99,-0.18974800474533235,8.822366140935591e-57,0.25031317012869814
T_Tool_Setpoint_min,-0.24980680567227398,2.2999104140317075e-98,-0.1892426551840244,1.7514255563768757e-56,0.24980680567227398
T_Bed_Setpoint_max,-0.23858558897591892,1.215613680816545e-89,-0.17339893158453895,1.423413592399429e-47,0.23858558897591892
Power_Bed_max,-0.23740781987601425,9.426975388256096e-89,-0.2005038517015585,2.5427828363201907e-63,0.23740781987601425
T_Bed_Setpoint_mean,-0.23648937199921877,4.620386167411439e-88,-0.1732561103291149,1.6978895963300745e-47,0.23648937199921877
Power_Bed_mean,-0.23608369450811179,9.303302598032642e-88,-0.23761720288806817,6.555150732533271e-89,0.23608369450811179
T_Bed_Setpoint_min,-0.2316951278601106,1.6587302371763686e-84,-0.1726221361822844,3.7070987829005194e-47,0.2316951278601106
Y_Setpoint_std,-0.2240368468572838,6.45940240489742e-79,-0.23378499009727788,5.8299719079582636e-86,0.2240368468572838
X_Setpoint_max,-0.22347653777311485,1.4468607360734592e-78,-0.2018539945503782,3.838460438069877e-64,0.22347653777311485
X_Setpoint_mean,-0.2199495502881515,4.1924240729350826e-76,-0.19570686863940323,2.4858392439164508e-60,0.2199495502881515
Y_Setpoint_min,0.21881284468607332,2.551544608924514e-75,0.18839498736206822,5.816526403420445e-56,0.21881284468607332
StepperOnOff_max,-0.21515054510752435,7.458375731935087e-73,-0.21512968759846093,7.704393264152865e-73,0.21515054510752435
T_Hotend_Actual_max,-0.21347458604079916,1.0009277696478557e-71,-0.15571286458804337,1.362688001360058e-38,0.21347458604079916
T_Hotend_Actual_Smooth_max,-0.21334341054842965,1.2253655938866766e-71,-0.15555113219333855,1.6288629728992475e-38,0.21334341054842965
StepperOnOff_mean,-0.21188842738344205,1.1452207753179013e-70,-0.21323957393546408,1.4380533704356276e-71,0.21188842738344205
StepperOnOff_min,-0.21105315966516272,4.10048080043558e-70,-0.21103529262648765,4.2136468667948826e-70,0.21105315966516272
T_Tool_Actual_max,-0.21074008829348082,6.604645525402944e-70,-0.15413123164329956,7.737333892547274e-38,0.21074008829348082
T_Hotend_Actual_mean,-0.2091815638255347,7.005513442822966e-69,-0.14725349335364185,1.1900323752883766e-34,0.2091815638255347
T_Hotend_Actual_Smooth_mean,-0.20903857201741416,8.692050589779211e-69,-0.1470707996614882,1.4393488875492667e-34,0.20903857201741416
T_Tool_Actual_mean,-0.20557632701530695,1.5355332609222014e-66,-0.14507041946509477,1.1369718718927663e-33,0.20557632701530695
T_Hotend_Actual_min,-0.20493565082541126,3.959419045217113e-66,-0.14933043635237558,1.3458655644086538e-35,0.20493565082541126
T_Hotend_Actual_Smooth_min,-0.20476951048089054,5.059201852816201e-66,-0.1491076365176782,1.7029309908639338e-35,0.20476951048089054
T_Tool_Actual_min,-0.20178675744742292,3.975179905482775e-64,-0.14708486731959314,1.4184334431895724e-34,0.20178675744742292
Power_Bed_std,-0.17745675459707644,9.499962046807966e-50,-0.17279208094658005,3.1967565716564107e-47,0.17745675459707644
X_Setpoint_min,-0.17511845324446332,1.7640876516177657e-48,-0.1352501591166823,1.955255959326868e-29,0.17511845324446332
X_Setpoint_std,-0.17070628064841284,4.276521116486362e-46,-0.18874476514973096,3.902403339505827e-56,0.17070628064841284
F_Setpoint_max,-0.1573022424601891,2.4258899057001024e-39,-0.14512358568727649,1.111776379499382e-33,0.1573022424601891
Y_Setpoint_mean,0.15159124078363231,1.25405889010407e-36,0.08568207151429422,1.1054421173278687e-12,0.15159124078363231
Power_Bed_min,-0.1511187870923831,2.0090713009371647e-36,-0.18715805099100638,2.903489870323964e-55,0.1511187870923831
Power_Hotend_max,-0.14781016875742553,6.655774821875666e-35,-0.12698383863004406,3.979225048368749e-26,0.14781016875742553
Power_Hotend_Smooth_max,-0.14771516063364448,7.350867583977893e-35,-0.12680164029725272,4.683725644260798e-26,0.14771516063364448
F_Setpoint_min,0.14174557056325163,3.411646575268308e-32,0.15497253827603333,3.19405375997191e-38,0.14174557056325163
Power_Hotend_mean,-0.13814865922455483,1.1590387805709786e-30,-0.12827491906267657,1.2450661069535034e-26,0.13814865922455483
Power_Hotend_Smooth_mean,-0.13803519330490943,1.2946613994225245e-30,-0.12807264456675688,1.494830907353165e-26,0.13803519330490943
T_Bed_Actual_max,-0.1334414532004294,1.056599133074564e-28,-0.12186499385761877,3.5439921404371086e-24,0.1334414532004294
F_Setpoint_std,-0.13264365732841438,2.3789756604672987e-28,-0.12281357829483576,1.6506033594469652e-24,0.13264365732841438
T_Bed_Actual_mean,-0.12821077765072272,1.3194225402456784e-26,-0.11364703181311767,3.236807259210658e-21,0.12821077765072272
T_Pinda_Actual_max,-0.1259064461213262,1.03972651380852e-25,-0.11025868497118692,4.6805304853384883e-20,0.1259064461213262
T_Bed_Actual_min,-0.12533054404729466,1.7314294616027438e-25,-0.12495309211546769,2.41551666010646e-25,0.12533054404729466
T_Pinda_Actual_min,-0.12377541339423105,6.781843056620246e-25,-0.11563608131995073,6.495787712538717e-22,0.12377541339423105
T_Pinda_Actual_mean,-0.12296324482573129,1.3741413514622846e-24,-0.11244539313042964,8.425455343006251e-21,0.12296324482573129
Power_Hotend_min,-0.11283170753572988,6.2016278489569555e-21,-0.10635890595610821,9.163186241375457e-19,0.11283170753572988
Power_Hotend_Smooth_min,-0.11279545133134042,6.382865205310241e-21,-0.10626414981756002,9.836817427621157e-19,0.11279545133134042
Power_Hotend_std,-0.11020467521757607,5.003111375352956e-20,-0.14717339413671301,1.3518695827160252e-34,0.11020467521757607
Power_Hotend_Smooth_std,-0.10821209579254697,2.3139672255844215e-19,-0.14407643444548168,3.276381395849695e-33,0.10821209579254697
F_Setpoint_mean,-0.10283855089953696,1.2452089910778436e-17,-0.11366542042547959,3.253032961878163e-21,0.10283855089953696
Speed_Fan_Hotend_max,-0.07924830769643867,4.641844562266328e-11,-0.0885952425135572,1.822520747176309e-13,0.07924830769643867
Speed_Fan_Hotend_mean,-0.07797478359566087,9.425227148744874e-11,-0.09924674378670532,1.578939519318923e-16,0.07797478359566087
PWM_Fan_Hotend_max,-0.07734525596454585,1.332172119828004e-10,-0.07734264307626752,1.334079094851162e-10,0.07734525596454585
Speed_Fan_Hotend_min,-0.07535475731919103,3.907812649976058e-10,-0.08979850433091162,8.548537383170286e-14,0.07535475731919103
T_Ambient_Actual_mean,0.07532067892411416,3.97953976845613e-10,0.07262738626632426,1.633859868371362e-09,0.07532067892411416
T_Ambient_Actual_max,0.07481256962732319,5.21434239114502e-10,0.07623992715338415,2.4296787845112034e-10,0.07481256962732319
PWM_Fan_Hotend_mean,-0.0747089627718913,5.50854972002339e-10,-0.0750267245159443,4.6539961844649094e-10,0.0747089627718913
PWM_Fan_Hotend_min,-0.07423812119631809,7.062628477547651e-10,-0.07422908940457927,7.096271925729281e-10,0.07423812119631809
T_Ambient_Actual_min,0.06819124082568209,1.5020761715929293e-08,0.06649159444842162,3.391884080094405e-08,0.06819124082568209
Y_Setpoint_max,0.05516200652231881,4.7219270796659756e-06,0.060619765763638825,4.894487011720293e-07,0.05516200652231881
