Model,R,R2,MAE,MSE,RMSE,EVS,Error_Variance,Prediction_Value
Training Mean Baseline,2.6520853339215618e-15,-15.649684973263486,0.44504652606294826,0.21072266578686738,0.45904538532357275,-4.440892098500626e-16,0.012656259784751215,0.3532746046749388
Midpoint Baseline,,-7.0317399616255685,0.2995001219884898,0.1016517524709005,0.3188287196456751,2.220446049250313e-16,0.012656259784751208,0.5
Linear Regression,0.09516990795644707,-12.381444152830465,0.38134117081051877,0.1693589751692355,0.41153247158545764,-0.896863252973469,0.024007194105780477,
Ridge,0.09517117907970442,-12.381418080552058,0.3813408530676339,0.16935864519182045,0.41153207067228725,-0.8968555236595526,0.02400709628157559,
Decision Tree,-0.06860589416674424,-8.993118181005132,0.26760769130681494,0.12647545620269243,0.35563387943599023,-3.3831927961897117,0.05547482671522705,
Random Forest,-0.1312179180282676,-8.516077487771309,0.25980829500133235,0.12043790734044853,0.3470416507286244,-3.1936360927856873,0.05307574783300469,
Extra Trees,-0.060368952560029686,-7.178026261842586,0.25866168311382776,0.10350318925179629,0.3217191154591164,-1.8916403251900138,0.03659735115966728,
Gradient Boosting,0.020231036432290305,-9.35159282840109,0.3199811378430985,0.13101240290394148,0.3619563549710676,-1.261983218437583,0.02862824724129369,
HistGradientBoosting,0.01852421324949829,-6.424553997242865,0.24412540517382447,0.09396705181448836,0.3065404570598934,-1.7186477586898374,0.0344079122972102,
XGBoost,0.059777614748334915,-6.257998636207205,0.24278603175991245,0.0918590846226233,0.30308263662345175,-1.6024529585106886,0.03293732072050564,
